Area,Year,Room,Total Price,PPA,Floor,Location,Garage,WareHouse,Elevator
320,1401,4,16000000000,50000000,1,blwr nSrkhsrw ,True,True,True

75,1396,2,165000000,2200000,3,bwdhr ,False,True,False

76,1400,2,210000000,2763000,1,bwdhr ,False,True,False

85,1400,2,1250000000,14705000,4,bwdhr ,True,True,True

85,1386,1,3200000000,37647000,0,bwdhr ,False,True,False

330,1401,4,18500000000,56060000,4,bwdhr ,True,True,True

40,1380,bdwn tq,400000000,10000000,1,bwdhr ,False,True,False

60,1392,1,730000000,12166000,3,bwdhr ,False,False,False

70,1400,1,550000000,7857000,2,bwTlb ,False,False,False

112,1397,3,2400000000,21428000,3,bwTlb ,True,True,True

90,1401,2,1150000000,12777000,0,bwTlb ,False,False,False

110,1390,2,1430000000,13000000,2,bwTlb ,True,True,True

155,1401,3,2475000000,15967000,1,bwTlb ,True,True,True

98,1383,2,1560000000,15918000,4,bwTlb ,True,True,True

124,1393,2,2294000000,18500000,2,bwTlb ,True,True,True

145,1401,2,2320000000,16000000,1,bwTlb ,True,True,True

85,1395,2,1090000000,12823000,2,khwchh bwTlb pnjh w hft/ykh hdyt sy w ykh (blwr hdyt shrqy) ,True,True,True

110,1391,2,1300000000,11818000,2,bwTlb ,False,True,False

80,1395,2,1100000000,13750000,2,blwr bwTlb (blwr bwTlb) ,True,False,False

158,1401,3,3700000000,23417000,4,bwTlb ,True,True,True

72,1400,1,580000000,8055000,2,bwTlb ,False,False,False

120,1401,2,2640000000,22000000,5,bwTlb ,True,True,True

70,1396,1,490000000,7000000,4,bwTlb ,False,True,False

114,1390,2,2000000000,17543000,2,bwTlb ,True,True,False

85,1395,2,840000000,9882000,2,bwTlb ,False,True,False

140,1397,2,820000000,5857000,3,blwr shhyd mHmd zdh (blwr bwTlb) ,False,True,False

70,1380,1,780000000,11142000,1,blwr bwTlb (khnrgdhr chrGchy) ,False,True,False

70,1380,1,750000000,10714000,1,bwTlb ,False,True,False

155,1389,3,7150000000,46129000,1,blwr nSrkhsrw ,True,True,True

240,1401,3,15600000000,65000000,5,blwr nSrkhsrw ,True,True,True

175,1395,3,7900000000,45142000,6,Hmdabd ,True,True,True

240,1401,3,28600000000,119166000,7,Hmdabd ,True,True,True

129,1401,2,5670000000,43953000,2,Hmdabd ,True,True,True

320,1401,4,19200000000,60000000,5,Hmdabd ,True,True,True

320,1401,4,16000000000,50000000,1,Hmdabd ,True,True,True

265,1400,3,11400000000,43018000,1,khybn bkhryy (blwr Hmd bd) ,True,True,True

310,1401,3,18000000000,58064000,0,Hmdabd ,True,True,True

182,1393,3,5500000000,30219000,5,Hmdabd ,True,True,True

201,1401,3,10500000000,52238000,2,Hmdabd ,True,True,True

